name,height,lat,lon
Beinn Ime,1011,56.236812,-4.817142
Ben Vorlich,943,56.274021,-4.755046
 ,931,56.278801,-4.755923
Beinn Narnain,927,56.220956,-4.789003
Ben Vane,915.76,56.249786,-4.781639
Beinn Chorranach,888,56.245838,-4.819357
The Cobbler,884,56.213037,-4.808042
Beinn Luibhean,858,56.231249,-4.836341
Stob Coire Creagach,817,56.2577,-4.857968
Meall an Fhudair,764,56.333881,-4.798858
Beinn Damhain,684,56.316818,-4.779041
Cruach Tairbeirt,415,56.21539,-4.72256
,870,56.214934,-4.804841
,858,56.211959,-4.80719
A' Chrois,848,56.231324,-4.762759
Binnein an Fhidhleir,811,56.25582,-4.883164
Little Hills West,808,56.274026,-4.74188
Little Hills East,793,56.273316,-4.734139
Creag Tharsuinn,781,56.227869,-4.77931
Ben Vorlich South Top,780,56.261675,-4.739882
Beinn Dubh,773,56.264623,-4.787368
Troisgeach,733,56.336189,-4.766955
Stob nan Coinnich Bhacain,647,56.293228,-4.743773
Maol Breac,645,56.302638,-4.815472
Cruach nam Miseag,813,56.218598,-4.781121
A' Chrois West Top,785,56.22988,-4.769774
Creag Bhrosgan,771,56.255648,-4.868166
Ben Vane Far North Top,751,56.260029,-4.788102
Ben Vane North Top,750,56.257337,-4.787907
Stob Coire Creagach East Top,748,56.261287,-4.851178
An t-Sron,614,56.207764,-4.793982
Meall Beag,607,56.276326,-4.855577
Maol Meadhonach,604,56.291454,-4.836421
Maol Breac SE Top,598,56.297389,-4.805373
Stoban Dubha,596,56.271787,-4.824498
Maol Meadhonach NW Top,541,56.297439,-4.842556
Cruach Tuirc,532,56.2922,-4.861788
Garabal Hill,524,56.315235,-4.754554
Trosgiche,523,56.327273,-4.835068
Stob an Fhithich,419,56.303287,-4.742753
Cruach Tairbeirt North Top,307,56.223845,-4.717711
Dubh Chnoc,288,56.238639,-4.739741
Kenmore Hill,254,56.233717,-4.71841
